id,firstname,lastname,email,score,date_of_birth,university
6892,Malina,Clywd,Malina.Clywd@mymail.com,4.35,1939-08-01,American University in Bulgaria
6893,Dagmar,Bartlett,Dagmar.Bartlett@mymail.com,6.85,1907-02-11,American University of Antigua
6894,Henriette,Honoria,Henriette.Honoria@mymail.com,10.47,1992-11-18,Stony Brook University (Korea campus)
6895,Selma,Deny,Selma.Deny@mymail.com,2.74,1938-07-25,Webster University Geneva (Geneva campus)
6896,Lisette,Lareena,Lisette.Lareena@mymail.com,10.47,2015-12-31,New York University (Buenos Aires campus)
6897,Penelopa,Wareing,Penelopa.Wareing@mymail.com,2.38,1942-06-23,Franklin University Switzerland
6898,Abbie,Sperling,Abbie.Sperling@mymail.com,4.62,1932-08-05,Rochester Institute of Technology (Dubai campus)
6899,Lorie,Stevy,Lorie.Stevy@mymail.com,7.14,1978-09-20,Hellenic American University
6900,Stacey,Suanne,Stacey.Suanne@mymail.com,7.02,1958-05-03,American University of Sharjah
6901,Bernie,Persse,Bernie.Persse@mymail.com,5.7,1999-09-23,Kean University (Wenzhou campus)
6902,Alyda,Medrek,Alyda.Medrek@mymail.com,10.47,1909-09-05,American University of Rome
6903,Doralynne,Erb,Doralynne.Erb@mymail.com,2.37,2012-08-12,American University in Dubai
6904,Jany,Edvard,Jany.Edvard@mymail.com,8.1,1904-02-17,RIT Kosovo / American University in Kosovo
6905,Mellicent,Miru,Mellicent.Miru@mymail.com,3.16,1968-09-12,RIT Kosovo / American University in Kosovo
6906,Selma,Schonfeld,Selma.Schonfeld@mymail.com,7.92,1928-01-31,American University in Bosnia and Herzegovina
6907,Lita,Arne,Lita.Arne@mymail.com,7.36,1915-01-31,New York University (Abu Dhabi campus)
6908,Dominga,Taam,Dominga.Taam@mymail.com,7.81,2007-12-07,American College Dublin
6909,Myriam,Ursulette,Myriam.Ursulette@mymail.com,1.74,1957-05-26,American University of Sharjah
6910,Ardenia,Diogenes,Ardenia.Diogenes@mymail.com,10.07,1900-04-12,American University in Bosnia and Herzegovina
6911,Charissa,Croix,Charissa.Croix@mymail.com,1.09,1999-04-22,American College of Thessaloniki (ACT)
6912,Emilia,Alva,Emilia.Alva@mymail.com,9.15,1966-03-30,American College of Thessaloniki (ACT)
6913,Lorie,Amasa,Lorie.Amasa@mymail.com,9.2,2003-02-19,New York University (Florence campus)
6914,Alleen,Clara,Alleen.Clara@mymail.com,4.61,1929-06-05,American University of Rome
6915,Nananne,Faust,Nananne.Faust@mymail.com,10.73,1932-05-26,University of Utah (Incheon campus)
6916,Gwenneth,Rooney,Gwenneth.Rooney@mymail.com,8.74,1962-12-05,American University of Beirut
6917,Goldie,Merna,Goldie.Merna@mymail.com,9.79,1961-01-19,Stony Brook University (Korea campus)
6918,Jeanna,Ricki,Jeanna.Ricki@mymail.com,10.13,1990-08-01,Kean University (Wenzhou campus)
6919,Merrie,Gaal,Merrie.Gaal@mymail.com,4.68,1997-04-08,Saint Louis University (Madrid campus)
6920,Tamqrah,Tatianas,Tamqrah.Tatianas@mymail.com,7.47,1956-01-28,American University of Paris
6921,Dorthy,Ralfston,Dorthy.Ralfston@mymail.com,8.03,1976-10-31,Hellenic American University
6922,Tori,Stover,Tori.Stover@mymail.com,3.14,2014-03-15,Central European University
6923,Benita,Persse,Benita.Persse@mymail.com,5.7,1902-08-20,American University of Antigua
6924,Verla,Mitzi,Verla.Mitzi@mymail.com,1.82,2007-04-05,George Mason University (Incheon campus)
6925,Deirdre,Faso,Deirdre.Faso@mymail.com,8.21,1947-09-21,St. John's University (Paris campus)
6926,Verla,Germann,Verla.Germann@mymail.com,1.78,2010-10-04,Richmond The American International University in London
6927,Dorthy,Cimbura,Dorthy.Cimbura@mymail.com,5.13,1931-08-27,The American University in Cairo
6928,Yvonne,Garlinda,Yvonne.Garlinda@mymail.com,6.48,1904-01-16,McDaniel College Budapest
6929,Raquela,Gahl,Raquela.Gahl@mymail.com,8.81,1924-11-17,Lakeland University (Japan campus)
6930,Ida,Vale,Ida.Vale@mymail.com,6.04,1973-08-28,New York University (Buenos Aires campus)
6931,Vinita,Westphal,Vinita.Westphal@mymail.com,3.39,1991-06-29,George Mason University (Incheon campus)
6932,Gretal,Ramona,Gretal.Ramona@mymail.com,9.68,1959-11-11,American College of Greece
6933,Annora,Matthew,Annora.Matthew@mymail.com,7.57,1958-07-26,Hult International Business School
6934,Marika,Martguerita,Marika.Martguerita@mymail.com,7.22,1911-12-17,American University of Rome
6935,Elvira,Merat,Elvira.Merat@mymail.com,3.83,1947-09-18,American College Dublin
6936,Di,Larochelle,Di.Larochelle@mymail.com,4.11,1945-10-27,American University in Bulgaria
6937,Justinn,Bigner,Justinn.Bigner@mymail.com,10.59,1959-10-10,United States International University
6938,Teddie,Rozanna,Teddie.Rozanna@mymail.com,8.72,1960-12-18,United States International University
6939,Rosene,Bettine,Rosene.Bettine@mymail.com,7.17,1968-07-09,New York University (Abu Dhabi campus)
6940,Ellette,Huggins,Ellette.Huggins@mymail.com,8.59,1989-06-22,St. John's University (Italy campus)
6941,Yetty,Loring,Yetty.Loring@mymail.com,7.52,1984-11-16,Hellenic American University
6942,Susette,Holbrook,Susette.Holbrook@mymail.com,9.88,1939-08-21,New York University (Florence campus)
6943,Consuela,Lia,Consuela.Lia@mymail.com,1.24,1928-11-22,Keiser University (Latin American campus)
6944,Felice,Raseda,Felice.Raseda@mymail.com,4.11,1979-12-12,American College Dublin
6945,Ekaterina,Lymann,Ekaterina.Lymann@mymail.com,2.22,2009-03-11,Lakeland University (Japan campus)
6946,Danika,Morrill,Danika.Morrill@mymail.com,9.63,1913-10-04,RIT Kosovo / American University in Kosovo
6947,Lynea,Flita,Lynea.Flita@mymail.com,9.33,1909-02-04,American University of Armenia
6948,Anthia,An,Anthia.An@mymail.com,7.83,1985-09-09,Hult International Business School
6949,Flory,Dowski,Flory.Dowski@mymail.com,4.11,1933-03-28,American University in Dubai
6950,Wilma,Ricki,Wilma.Ricki@mymail.com,6.02,1926-11-15,American College of Greece
6951,Corly,Georas,Corly.Georas@mymail.com,8.78,1940-08-18,Hellenic American University
6952,Marita,Pillsbury,Marita.Pillsbury@mymail.com,3.43,1961-01-20,American University of Paris
6953,Lonnie,Whittaker,Lonnie.Whittaker@mymail.com,8.19,1967-01-11,American University of Sharjah
6954,Audrie,Kevon,Audrie.Kevon@mymail.com,8.2,1941-04-19,Saint Louis University (Madrid campus)
6955,Letizia,Hartnett,Letizia.Hartnett@mymail.com,3.69,2019-02-16,New York University (Buenos Aires campus)
6956,Adele,Fiann,Adele.Fiann@mymail.com,5.51,1992-02-21,American InterContinental University
6957,Linet,Merna,Linet.Merna@mymail.com,6.02,1993-09-25,Lebanese American University
6958,Alameda,Sinegold,Alameda.Sinegold@mymail.com,7.06,1950-05-17,George Mason University (Incheon campus)
6959,Dacia,Beniamino,Dacia.Beniamino@mymail.com,3.74,2012-10-22,American College of Thessaloniki (ACT)
6960,Jacquetta,Girardo,Jacquetta.Girardo@mymail.com,2.7,1981-07-15,New York University (Buenos Aires campus)
6961,Gale,Kesley,Gale.Kesley@mymail.com,5.26,1955-04-15,American University of Antigua
6962,Atlanta,Donell,Atlanta.Donell@mymail.com,5.06,1923-02-01,American University in Dubai
6963,Sean,Rooney,Sean.Rooney@mymail.com,2.22,1989-04-22,American University of Nigeria
6964,Violet,Tjon,Violet.Tjon@mymail.com,9.54,1946-07-02,RIT Kosovo / American University in Kosovo
6965,Robbi,Zaslow,Robbi.Zaslow@mymail.com,2.94,1970-07-03,Hult International Business School
6966,Melina,Joseph,Melina.Joseph@mymail.com,5.25,1925-03-26,United States International University
6967,Jordan,Sibyls,Jordan.Sibyls@mymail.com,1.64,1973-12-12,American University in Dubai
6968,Lolita,Hailee,Lolita.Hailee@mymail.com,4.67,1907-08-06,Franklin University Switzerland
6969,Lorenza,Beebe,Lorenza.Beebe@mymail.com,1.15,1962-09-14,Lebanese American University
6970,Tina,Carleen,Tina.Carleen@mymail.com,3.5,1973-07-08,New York University (Buenos Aires campus)
6971,Elena,Kunin,Elena.Kunin@mymail.com,2.31,1964-12-17,New York University (Florence campus)
6972,Xylina,Clie,Xylina.Clie@mymail.com,6.21,1902-03-09,American University in Bulgaria
6973,Vanessa,Grobe,Vanessa.Grobe@mymail.com,8.14,1978-03-25,John Cabot University
6974,Edith,Cottle,Edith.Cottle@mymail.com,7.48,1908-02-04,Stony Brook University (Korea campus)
6975,Antonietta,Nadia,Antonietta.Nadia@mymail.com,7.5,1928-12-06,Stony Brook University (Korea campus)
6976,Gilda,Chinua,Gilda.Chinua@mymail.com,6.67,1937-08-09,Central European University
6977,Karena,Amasa,Karena.Amasa@mymail.com,2.38,2017-07-08,Richmond The American International University in London
6978,Janis,Lewes,Janis.Lewes@mymail.com,3.97,1975-07-09,American College of Greece
6979,Elbertina,Jammal,Elbertina.Jammal@mymail.com,6.39,1915-12-26,University of Utah (Incheon campus)
6980,Merry,Terencio,Merry.Terencio@mymail.com,3.55,2008-08-31,RIT Kosovo / American University in Kosovo
6981,Kamilah,Gilmour,Kamilah.Gilmour@mymail.com,2.59,1910-03-23,American University of Armenia
6982,Rani,Tannie,Rani.Tannie@mymail.com,8.47,2015-05-29,University of Utah (Incheon campus)
6983,Britni,Croix,Britni.Croix@mymail.com,2.32,1909-03-31,New York University (Florence campus)
6984,Merci,Donell,Merci.Donell@mymail.com,5.27,1920-11-03,University of Utah (Incheon campus)
6985,Zsa Zsa,Vanni,Zsa Zsa.Vanni@mymail.com,6.91,2013-07-25,American University of Paris
6986,Asia,Pulsifer,Asia.Pulsifer@mymail.com,9.99,2004-04-11,New York University (Buenos Aires campus)
6987,Lita,Sundin,Lita.Sundin@mymail.com,1.61,1915-07-04,United States International University
6988,Merrie,Tryck,Merrie.Tryck@mymail.com,2.14,1989-06-19,Webster University Geneva (Geneva campus)
6989,Jan,Auberbach,Jan.Auberbach@mymail.com,3.61,2005-04-02,American University of Armenia
6990,Mahalia,Nance,Mahalia.Nance@mymail.com,5.62,2002-12-07,University of Utah (Incheon campus)
6991,Joceline,Wadell,Joceline.Wadell@mymail.com,10.69,1969-01-20,American University of Antigua
6992,Zaria,Cecile,Zaria.Cecile@mymail.com,8.08,1991-09-30,Richmond The American International University in London
6993,Karena,Gordon,Karena.Gordon@mymail.com,1.85,1981-03-22,St. John's University (Paris campus)
6994,Starla,Eiser,Starla.Eiser@mymail.com,4.46,1900-12-14,McDaniel College Budapest
6995,Sabina,Francyne,Sabina.Francyne@mymail.com,10.17,1973-09-28,Schiller International University
6996,Vita,Brackely,Vita.Brackely@mymail.com,10.44,1946-01-09,Saint Louis University (Madrid campus)
6997,Carilyn,Alabaster,Carilyn.Alabaster@mymail.com,6.26,1947-12-16,John Cabot University
6998,Jordan,Jerald,Jordan.Jerald@mymail.com,10.29,2006-02-15,Richmond The American International University in London
6999,Rochette,Voletta,Rochette.Voletta@mymail.com,9.57,1961-06-19,Franklin University Switzerland
7000,Ileana,Halla,Ileana.Halla@mymail.com,4.6,1969-08-13,American University of Sharjah
7001,Marguerite,Frendel,Marguerite.Frendel@mymail.com,2.14,1999-07-22,American University of Nigeria
7002,Stephanie,Desai,Stephanie.Desai@mymail.com,4.64,1999-07-09,Keiser University (Latin American campus)
7003,Clo,Iphlgenia,Clo.Iphlgenia@mymail.com,1.2,1909-06-15,Richmond The American International University in London
7004,Esmeralda,Schalles,Esmeralda.Schalles@mymail.com,10.93,1958-11-23,New York University (Abu Dhabi campus)
7005,Mireielle,Merna,Mireielle.Merna@mymail.com,6.24,1921-04-23,American College of Greece
7006,Kalina,Read,Kalina.Read@mymail.com,7.08,1960-02-12,New York University (Buenos Aires campus)
7007,Kittie,Oneida,Kittie.Oneida@mymail.com,5.51,1913-05-25,American University of Nigeria
7008,Chrystel,Amadas,Chrystel.Amadas@mymail.com,5.18,1902-08-25,American University of Paris
7009,Ezmeralda,Lane,Ezmeralda.Lane@mymail.com,5.89,1982-10-27,Franklin University Switzerland
7010,Roslyn,Sibyls,Roslyn.Sibyls@mymail.com,6.56,1938-11-18,United States International University
7011,Rozele,Peg,Rozele.Peg@mymail.com,5.99,1935-06-30,Temple University (Rome campus)
7012,Delilah,Uird,Delilah.Uird@mymail.com,8.23,1984-12-08,St. John's University (Paris campus)
7013,Fernande,Dorine,Fernande.Dorine@mymail.com,3.06,2016-08-06,American University of Paris
7014,Elie,Ventre,Elie.Ventre@mymail.com,9.67,1957-10-19,Schiller International University
7015,Regina,Morrill,Regina.Morrill@mymail.com,2.47,2010-10-16,American College of Thessaloniki (ACT)
7016,Sallie,Burch,Sallie.Burch@mymail.com,10.06,2003-02-18,American College of Thessaloniki (ACT)
7017,Keelia,Haymes,Keelia.Haymes@mymail.com,3.51,1950-03-21,American University of Rome
7018,Elena,Hessler,Elena.Hessler@mymail.com,4.68,1964-05-20,McDaniel College Budapest
7019,Etta,Wenoa,Etta.Wenoa@mymail.com,10.41,1926-12-09,Temple University (Rome campus)
7020,Renae,Keily,Renae.Keily@mymail.com,2.47,1974-12-24,American InterContinental University
7021,Cathie,Joachim,Cathie.Joachim@mymail.com,3.43,1979-03-31,McDaniel College Budapest
7022,Arlina,Hollingsworth,Arlina.Hollingsworth@mymail.com,8,2001-07-25,Franklin University Switzerland
7023,Gisela,Dorcy,Gisela.Dorcy@mymail.com,6.58,2004-06-10,Keiser University (Latin American campus)
7024,Arlena,Lareena,Arlena.Lareena@mymail.com,10.1,2010-07-09,American University of Armenia
7025,Debee,Fredi,Debee.Fredi@mymail.com,5.05,1912-06-18,Hellenic American University
7026,Minne,Posner,Minne.Posner@mymail.com,8.05,1911-12-07,Temple University (Rome campus)
7027,Hermione,Yusuk,Hermione.Yusuk@mymail.com,5.38,1994-06-08,Lebanese American University
7028,Paola,Rheingold,Paola.Rheingold@mymail.com,1.16,1936-09-25,Central European University
7029,Ezmeralda,Teddman,Ezmeralda.Teddman@mymail.com,8.28,1996-06-12,Keiser University (Latin American campus)
7030,Ida,Gemini,Ida.Gemini@mymail.com,1.71,1911-05-20,Temple University (Japan campus)
7031,Millie,Barbey,Millie.Barbey@mymail.com,8.44,1984-05-21,American University of Sharjah
7032,Magdalena,Iiette,Magdalena.Iiette@mymail.com,7.46,2016-02-12,Lebanese American University
7033,Rhoda,Boehike,Rhoda.Boehike@mymail.com,7,1970-03-23,American InterContinental University
7034,Gavrielle,Mata,Gavrielle.Mata@mymail.com,1.87,2014-11-03,American University of Sharjah
7035,Monika,Ralfston,Monika.Ralfston@mymail.com,9.91,2019-01-02,The American University in Cairo
7036,Carol-Jean,Krystle,Carol-Jean.Krystle@mymail.com,2.7,1912-09-04,American University of Paris
7037,Perry,Donell,Perry.Donell@mymail.com,6.33,2017-08-21,McDaniel College Budapest
7038,Paule,Teryn,Paule.Teryn@mymail.com,8.81,1964-11-30,St. John's University (Italy campus)
7039,Ronna,Kronfeld,Ronna.Kronfeld@mymail.com,8.42,1953-11-18,New York University (Buenos Aires campus)
7040,Jerry,Karylin,Jerry.Karylin@mymail.com,2.23,1902-05-05,University of Utah (Incheon campus)
7041,Jenda,Rebecka,Jenda.Rebecka@mymail.com,10.66,2005-03-10,American University in Bosnia and Herzegovina
7042,Lulita,Bibi,Lulita.Bibi@mymail.com,7.63,1982-08-15,American University of Sharjah
7043,Krystle,Lacombe,Krystle.Lacombe@mymail.com,10.78,1917-06-22,Temple University (Japan campus)
7044,Annora,Cullin,Annora.Cullin@mymail.com,4.27,1946-06-21,American College of Greece
7045,Lynnea,Jehu,Lynnea.Jehu@mymail.com,6.51,1954-10-16,Kean University (Wenzhou campus)
7046,Lynea,Kristi,Lynea.Kristi@mymail.com,7.07,1926-05-22,John Cabot University
7047,Lorenza,Rosemary,Lorenza.Rosemary@mymail.com,8.79,1900-02-22,University of Maryland Global Campus
7048,Susette,Aaberg,Susette.Aaberg@mymail.com,4.13,1927-08-02,Central European University
7049,Marita,Burnside,Marita.Burnside@mymail.com,8.75,1978-05-05,University of Utah (Incheon campus)
7050,Eadie,Jenness,Eadie.Jenness@mymail.com,9.01,2008-11-24,Central European University
7051,Joy,Dimitris,Joy.Dimitris@mymail.com,2.93,1991-02-13,John Cabot University
7052,Jaime,Katrine,Jaime.Katrine@mymail.com,4.31,1970-09-16,American University of Armenia
7053,Lita,Stav,Lita.Stav@mymail.com,4.95,1928-01-23,United States International University
7054,Lorne,Mintz,Lorne.Mintz@mymail.com,8.8,1936-12-25,Kean University (Wenzhou campus)
7055,Desirae,Damarra,Desirae.Damarra@mymail.com,2.15,1943-05-18,American University of Sharjah
7056,Desirae,Eben,Desirae.Eben@mymail.com,3.93,1951-09-23,John Cabot University
7057,Nannie,Tayib,Nannie.Tayib@mymail.com,5.96,1951-09-06,New York University (Abu Dhabi campus)
7058,Corly,Timon,Corly.Timon@mymail.com,2.32,1917-11-07,American University of Antigua
7059,Madeleine,Judye,Madeleine.Judye@mymail.com,7.59,2009-05-20,American University of Nigeria
7060,Tierney,Lemuela,Tierney.Lemuela@mymail.com,6.91,1915-05-31,George Mason University (Incheon campus)
7061,Melisent,Vanni,Melisent.Vanni@mymail.com,10.08,1944-12-05,Stony Brook University (Korea campus)
7062,Lonnie,Anestassia,Lonnie.Anestassia@mymail.com,9.49,1979-02-09,The American University in Cairo
7063,Ivett,Travax,Ivett.Travax@mymail.com,2.45,2005-08-26,Girne American University
7064,Caritta,Carri,Caritta.Carri@mymail.com,6.8,2001-08-27,Temple University (Japan campus)
7065,Jeanna,Elisha,Jeanna.Elisha@mymail.com,3.12,1953-03-22,American University of Antigua
7066,Catrina,Magnolia,Catrina.Magnolia@mymail.com,10.45,1957-02-23,New York University (Buenos Aires campus)
7067,Maurene,Melan,Maurene.Melan@mymail.com,7.82,1920-06-13,Kean University (Wenzhou campus)
7068,Flory,Berard,Flory.Berard@mymail.com,2.06,1904-04-07,St. John's University (Italy campus)
7069,Edee,Hartnett,Edee.Hartnett@mymail.com,6.6,1960-09-04,University of Maryland Global Campus
7070,Edith,Goode,Edith.Goode@mymail.com,7.32,1968-12-03,University of Utah (Incheon campus)
7071,Peri,Han,Peri.Han@mymail.com,1.12,1947-02-18,St. John's University (Paris campus)
7072,Eugine,Colp,Eugine.Colp@mymail.com,1.48,1963-06-24,American University of Antigua
7073,Marnia,Haerr,Marnia.Haerr@mymail.com,6.63,1928-03-12,RIT Kosovo / American University in Kosovo
7074,Maridel,Zitvaa,Maridel.Zitvaa@mymail.com,3.21,1996-12-16,American College Dublin
7075,Candy,Gaal,Candy.Gaal@mymail.com,10.72,1910-03-17,Temple University (Japan campus)
7076,Evita,Suk,Evita.Suk@mymail.com,2.37,1945-05-10,Central European University
7077,Amara,Ashely,Amara.Ashely@mymail.com,8.05,1990-05-03,New York University (Florence campus)
7078,Florie,Anton,Florie.Anton@mymail.com,2.09,1960-11-07,American University of Beirut
7079,Katharina,Odysseus,Katharina.Odysseus@mymail.com,4.82,1954-04-24,University of Utah (Incheon campus)
7080,Norine,Sikorski,Norine.Sikorski@mymail.com,9.25,1979-03-20,Schiller International University
7081,Rani,Delila,Rani.Delila@mymail.com,6.17,1964-04-02,Temple University (Japan campus)
7082,Brianna,Dowski,Brianna.Dowski@mymail.com,6.67,1962-11-02,United States International University
7083,Fredericka,Curren,Fredericka.Curren@mymail.com,3.85,1961-12-03,Keiser University (Latin American campus)
7084,Orsola,Thema,Orsola.Thema@mymail.com,3.09,2014-08-01,The American University in Cairo
7085,Perry,Fry,Perry.Fry@mymail.com,6.53,1949-03-07,American College Dublin
7086,Meg,McAdams,Meg.McAdams@mymail.com,8.24,1939-10-12,Richmond The American International University in London
7087,Jordan,Lea,Jordan.Lea@mymail.com,10.64,2005-10-17,McDaniel College Budapest
7088,Paola,Fiann,Paola.Fiann@mymail.com,6.86,1961-05-30,Lakeland University (Japan campus)
7089,Devina,Koehler,Devina.Koehler@mymail.com,1.14,1914-06-22,McDaniel College Budapest
7090,Alisha,Chandler,Alisha.Chandler@mymail.com,4.62,1940-03-20,Webster University Geneva (Geneva campus)
7091,Caritta,Parette,Caritta.Parette@mymail.com,1.95,1938-06-23,American University in Bulgaria
7092,Kathy,Lynn,Kathy.Lynn@mymail.com,7.83,1922-10-16,American College of Thessaloniki (ACT)
7093,Merrie,Clara,Merrie.Clara@mymail.com,3.45,1969-04-17,New York University (Buenos Aires campus)
7094,Suzette,Nea,Suzette.Nea@mymail.com,7.93,1951-11-09,American College Dublin
7095,Lelah,Nerita,Lelah.Nerita@mymail.com,9.45,2010-07-12,Lakeland University (Japan campus)
7096,Andree,Bluh,Andree.Bluh@mymail.com,10.14,1921-01-10,American University of Paris
7097,Inga,Felecia,Inga.Felecia@mymail.com,1.88,1923-03-18,New York University (Buenos Aires campus)
7098,Carmela,Erich,Carmela.Erich@mymail.com,5.94,1993-03-25,Girne American University
7099,Vere,Dalli,Vere.Dalli@mymail.com,10.79,1975-12-20,American University of Beirut
7100,Margarette,Henrie,Margarette.Henrie@mymail.com,10.21,1939-06-08,Richmond The American International University in London
7101,Vonny,Prouty,Vonny.Prouty@mymail.com,6.27,1935-08-08,Franklin University Switzerland
7102,Melodie,Grimbly,Melodie.Grimbly@mymail.com,5.55,1970-02-03,United States International University
7103,Janey,Sibyls,Janey.Sibyls@mymail.com,2.91,1918-05-30,American University in Bulgaria
7104,Hettie,Sancho,Hettie.Sancho@mymail.com,2.9,1920-04-25,Lebanese American University
7105,Dione,Gillan,Dione.Gillan@mymail.com,6.19,2001-03-10,Franklin University Switzerland
7106,Joeann,Jehu,Joeann.Jehu@mymail.com,1.67,1978-11-07,Schiller International University
7107,Gertrud,Mozelle,Gertrud.Mozelle@mymail.com,8.77,1934-08-06,Hult International Business School
7108,Carlie,Noman,Carlie.Noman@mymail.com,9.72,1907-09-05,University of Utah (Incheon campus)
7109,Jacenta,Prober,Jacenta.Prober@mymail.com,7.89,1902-07-03,American University of Paris
7110,Kalina,Douglass,Kalina.Douglass@mymail.com,8.56,1980-01-20,University of Utah (Incheon campus)
7111,Sheelagh,Ade,Sheelagh.Ade@mymail.com,3.15,1973-04-26,United States International University
7112,Mady,Bergman,Mady.Bergman@mymail.com,2.86,1991-08-01,American InterContinental University
7113,Ricky,Primalia,Ricky.Primalia@mymail.com,9.46,1938-09-21,New York University (Florence campus)
7114,Viviene,Guildroy,Viviene.Guildroy@mymail.com,10.5,2016-05-19,Schiller International University
7115,Tressa,Medrek,Tressa.Medrek@mymail.com,7.14,1954-02-17,Keiser University (Latin American campus)
7116,Marleah,Clarissa,Marleah.Clarissa@mymail.com,10.75,1950-12-11,Temple University (Rome campus)
7117,Aeriela,Suzetta,Aeriela.Suzetta@mymail.com,6.32,1971-01-14,University of Maryland Global Campus
7118,Rubie,Mitzi,Rubie.Mitzi@mymail.com,4.72,1968-02-03,Franklin University Switzerland
7119,Abbie,Jeanne,Abbie.Jeanne@mymail.com,5.34,1983-08-12,Schiller International University
7120,Anica,Jobi,Anica.Jobi@mymail.com,8.81,1971-02-12,Schiller International University
7121,Millie,Zitvaa,Millie.Zitvaa@mymail.com,3.79,1986-11-01,George Mason University (Incheon campus)
7122,Natka,Weitman,Natka.Weitman@mymail.com,7.66,1976-11-09,Kean University (Wenzhou campus)
7123,Kristan,Henrie,Kristan.Henrie@mymail.com,8.67,1980-08-25,American University of Nigeria
7124,Codie,Gladstone,Codie.Gladstone@mymail.com,1.76,1913-09-24,Lakeland University (Japan campus)
7125,Chloris,Tippets,Chloris.Tippets@mymail.com,2.14,1957-05-05,New York University (Buenos Aires campus)
7126,Cherrita,Barney,Cherrita.Barney@mymail.com,5.03,1984-08-12,George Mason University (Incheon campus)
7127,Vinita,Adrienne,Vinita.Adrienne@mymail.com,10.69,1927-07-28,Lakeland University (Japan campus)
7128,Lizzie,Stuart,Lizzie.Stuart@mymail.com,1.01,1920-02-07,Girne American University
7129,Sheelagh,Cornelia,Sheelagh.Cornelia@mymail.com,5.39,1905-01-02,Stony Brook University (Korea campus)
7130,Ketti,Atonsah,Ketti.Atonsah@mymail.com,6.79,1948-06-29,New York University (Florence campus)
7131,Mellicent,Hanleigh,Mellicent.Hanleigh@mymail.com,9.53,1902-01-25,Franklin University Switzerland
7132,Maud,Wesle,Maud.Wesle@mymail.com,7.54,1998-03-01,Kean University (Wenzhou campus)
7133,Mellicent,Thad,Mellicent.Thad@mymail.com,5.09,1912-02-27,Girne American University
7134,Adelle,Charmine,Adelle.Charmine@mymail.com,9.53,1966-12-09,University of Utah (Incheon campus)
7135,Daune,Guildroy,Daune.Guildroy@mymail.com,1.62,2019-01-11,Hellenic American University
7136,Rayna,Elbertina,Rayna.Elbertina@mymail.com,7.27,1953-10-31,Schiller International University
7137,Nerta,Roscoe,Nerta.Roscoe@mymail.com,7.81,1900-07-18,McDaniel College Budapest
7138,Tatiania,Nadia,Tatiania.Nadia@mymail.com,2.72,1940-10-09,United States International University
7139,Viviene,Trace,Viviene.Trace@mymail.com,2.79,1979-05-25,American University in Bosnia and Herzegovina
7140,Oona,Lamoree,Oona.Lamoree@mymail.com,4.07,1933-02-23,American University in Bulgaria
7141,Britte,Miru,Britte.Miru@mymail.com,8.61,1935-11-11,American University of Rome
7142,Meg,Fabiola,Meg.Fabiola@mymail.com,6.27,1972-12-18,Girne American University
7143,Linet,Anestassia,Linet.Anestassia@mymail.com,1.84,1971-02-09,Central European University
7144,Emylee,Colyer,Emylee.Colyer@mymail.com,7.19,2010-03-08,St. John's University (Paris campus)
7145,Daphne,Macey,Daphne.Macey@mymail.com,5.07,1947-05-16,Saint Louis University (Madrid campus)
7146,Marnia,Franza,Marnia.Franza@mymail.com,6.34,2015-10-06,McDaniel College Budapest
7147,Lisette,Olnee,Lisette.Olnee@mymail.com,9.93,1957-07-18,The American University in Cairo
7148,Feliza,Marisa,Feliza.Marisa@mymail.com,8.58,1928-08-25,George Mason University (Incheon campus)
7149,Susan,Ioab,Susan.Ioab@mymail.com,4.05,1947-06-22,McDaniel College Budapest
7150,Almeta,Kathie,Almeta.Kathie@mymail.com,10.94,1980-11-09,Central European University
7151,Ginnie,Harriman,Ginnie.Harriman@mymail.com,9.93,1984-08-17,Kean University (Wenzhou campus)
7152,Thalia,Gregrory,Thalia.Gregrory@mymail.com,9.77,1901-11-01,Lakeland University (Japan campus)
7153,Karolina,Telfer,Karolina.Telfer@mymail.com,7.06,2003-01-24,Kean University (Wenzhou campus)
7154,Grier,Erich,Grier.Erich@mymail.com,6.84,1985-11-14,American University of Nigeria
7155,Beatriz,Barrus,Beatriz.Barrus@mymail.com,10.54,1952-07-31,American InterContinental University
7156,Janenna,Crudden,Janenna.Crudden@mymail.com,7.78,1915-01-20,American University of Antigua
7157,Keelia,Vivle,Keelia.Vivle@mymail.com,5.91,1953-03-01,American University of Paris
7158,Marcy,Lutero,Marcy.Lutero@mymail.com,3.43,1972-08-16,Hult International Business School
7159,Janey,Garrison,Janey.Garrison@mymail.com,3.3,1940-04-06,Richmond The American International University in London
7160,Corene,Prouty,Corene.Prouty@mymail.com,6.29,1907-12-19,American College Dublin
7161,Leontine,Klotz,Leontine.Klotz@mymail.com,7.37,1903-09-20,Hellenic American University
7162,Cassandra,Roscoe,Cassandra.Roscoe@mymail.com,9.26,2018-08-05,University of Utah (Incheon campus)
7163,Genevra,Malanie,Genevra.Malanie@mymail.com,9.19,1923-01-27,Schiller International University
7164,Debee,Beebe,Debee.Beebe@mymail.com,8.58,1923-08-29,Webster University Geneva (Geneva campus)
7165,Betta,Infield,Betta.Infield@mymail.com,3.22,1985-02-27,American University of Rome
7166,Marcelline,Paton,Marcelline.Paton@mymail.com,8.92,2010-12-07,American InterContinental University
7167,Albertina,Parette,Albertina.Parette@mymail.com,9.35,1975-11-22,New York University (Florence campus)
